,Date_Second, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Label
0,12:36:57,410674361.0,12190.0,194.0,4176474.0,0.0,1174832.0,1085322.0,1126939.6023809523,47091.604303807086,0.0,0.0,0.0,0.0,,,60003627.57526123,93707942.20203026,172125443.0,10434.0,410674361.0,60038915.528168164,93775112.79259093,172125565.0,10434.0,119493866.0,619139.2020725384,1410707.6969710256,5976293.0,0.0,0.0,0.0,0.0,0.0,-11468.0,0.0,2444890971.54637,1.6166672325001985,1085322.0,1174832.0,1120257.6797264656,45028.18902356011,1372136.986123113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525575.7345238095,1126939.6023809523,0.0,1
1,12:36:58,596132014.0,24866.0,0.0,9008112.0,0.0,2666109.0,2463492.0,2554731.123809524,107900.91804707059,0.0,0.0,0.0,0.0,,,136483090.282861,214947206.48046824,382314554.0,24167.0,596132014.0,136483090.282861,214947206.48046824,382314554.0,24167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24866.0,0.0,5624445567.590193,0.0,2463492.0,2666109.0,2538906.6095238095,102970.75501478818,3107593.352380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3460784.269047619,2554731.123809524,0.0,1
2,12:36:59,572489895.0,24112.0,0.0,8738880.0,0.0,2604504.0,2410592.0,2498191.8095238097,103431.47837941644,0.0,0.0,0.0,0.0,,,131236141.35843454,207178083.81322083,368293299.0,26796.0,572489895.0,131236141.35843454,207178083.81322083,368293299.0,26796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24112.0,0.0,5510544653.625536,0.0,2410592.0,2604504.0,2482961.8571428573,98694.29598399358,2967073.5047619045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390722.595238095,2498191.8095238097,0.0,1
3,12:37:00,543988099.0,22810.0,0.0,8266876.0,0.0,2455473.0,2271408.0,2354634.1166666667,98201.04243961074,0.0,0.0,0.0,0.0,,,124471510.12781955,196550310.91206238,349345463.0,24396.0,543988099.0,124471510.12781955,196550310.91206238,349345463.0,24396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22810.0,0.0,5195991378.372015,0.0,2271408.0,2455473.0,2340159.3714285716,93706.60171500371,2818153.745238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3193612.5083333333,2354634.1166666667,0.0,1
4,12:37:01,435470058.0,18768.0,0.0,6805290.0,0.0,2062488.0,1911034.0,1979318.8357142857,80895.91818316033,0.0,0.0,0.0,0.0,,,101840201.90892616,160879529.5536615,285948082.0,18751.0,435470058.0,101840201.90892616,160879529.5536615,285948082.0,18751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8428.0,0.0,4560788559.193211,0.0,1911034.0,2062488.0,1967396.285714286,77167.18952504593,2332502.883333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692270.5154761905,1979318.8357142857,0.0,1
5,12:37:02,396677418.0,16794.0,0.0,6090778.0,0.0,1821362.0,1687909.0,1748415.3,71251.61605009378,0.0,0.0,0.0,0.0,,,90386993.10175438,142893984.53334188,253858646.0,15581.0,396677418.0,90386993.10175438,142893984.53334188,253858646.0,15581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270360.0,0.0,4045571188.418826,0.0,1687909.0,1821362.0,1737884.2571428572,67992.41520968293,2042157.4428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377028.6166666667,1748415.3,0.0,1
6,12:37:03,372211909.0,14983.0,11.0,5428904.0,4290.0,1634581.0,1513544.0,1568179.2333333334,64654.61339359578,1073.0,0.0,476.66666666666674,565.2572423242358,,,84593610.7377193,136690938.81340274,249939594.0,12687.0,367207006.0,85662824.95438597,137332884.35039842,246224018.0,12687.0,6303310.0,787914.625,1762617.5820263082,5005015.0,2.0,0.0,0.0,0.0,0.0,171650.0,384.0,3589362250.174422,1.5594118589754005,1513544.0,1635200.0,1558786.612987013,61897.1111803549,2022269.3696969694,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2130556.6476190477,1568179.2333333334,476.66666666666674,1
7,12:37:04,356347837.0,15292.0,0.0,5534636.0,0.0,1673591.0,1547486.0,1604045.0,67372.52544322997,0.0,0.0,0.0,0.0,,,85363190.57192983,134920218.06757328,239808830.0,13170.0,356347837.0,85363190.57192983,134920218.06757328,239808830.0,13170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637539.0,0.0,3629151423.726508,0.0,1547486.0,1673591.0,1594136.6857142858,64250.43052835067,1932612.9428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174611.0833333335,1604045.0,0.0,1
8,12:37:05,306330941.0,13282.0,0.0,4816996.0,0.0,1466102.0,1359259.0,1407658.4,57243.72680273494,0.0,0.0,0.0,0.0,,,72273513.37192982,114664738.34744538,203493477.0,11511.0,306330941.0,72273513.37192982,114664738.34744538,203493477.0,11511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4755549.0,0.0,3208456067.9043465,0.0,1359259.0,1466102.0,1399155.5714285716,54596.14650177446,1642425.7714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915498.85,1407658.4,0.0,1
9,12:37:06,257296912.0,11112.0,0.0,4034722.0,0.0,1224769.0,1135933.0,1176096.6015873016,47472.07077222887,0.0,0.0,0.0,0.0,,,59672576.833563544,94337799.33554468,167605057.0,8339.0,257296912.0,59672576.833563544,94337799.33554468,167605057.0,8339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976761.0,0.0,2697213161.655543,0.0,1135933.0,1224769.0,1169081.2606516292,45288.977422525655,1369994.4348370926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601931.0968253969,1176096.6015873016,0.0,1
